stroke_amplitude,right_stroke_vel,right_motor_torque,right_motor_current,right_motor_voltage,right_motor_output_power,right_motor_efficiency_1,motor_efficiency,time
-0.298042582,-191.5366646,-0.0028328,-1.691124504,-24.31983473,4.340681147,0.13774316,0.105541116,0.018
-0.335926379,-189.418985,-0.0026879,-1.601647394,-23.17328129,4.073114916,0.142960056,0.109741835,0.0182
-0.373332798,-187.0320951,-0.002532961,-1.506339303,-21.94971531,3.789959819,0.149027352,0.114625939,0.0184
-0.410208691,-184.379466,-0.002368548,-1.405536,-20.65336106,3.493693581,0.156135103,0.120351664,0.0186
-0.446501656,-181.4648236,-0.002195423,-1.299678936,-19.28975767,3.187136372,0.164529743,0.127126999,0.0188
-0.482160118,-178.2923097,-0.002014312,-1.189194452,-17.86426422,2.873090491,0.174552558,0.13524191,0.019
-0.517133397,-174.866398,-0.001826044,-1.07456555,-16.38294816,2.554510048,0.18667796,0.145105089,0.0192
-0.551371804,-171.192035,-0.001631423,-0.956263465,-14.85173934,2.234292833,0.201597423,0.157320461,0.0194
-0.584826677,-167.2743622,-0.001431442,-0.834862896,-13.27785393,1.915548252,0.220333349,0.172802511,0.0196
-0.617450483,-163.1190303,-0.00122696,-0.71086804,-11.66764282,1.601124146,0.244512038,0.193042482,0.0198
-0.649196856,-158.7318677,-0.001019041,-0.584893584,-10.02883004,1.294033831,0.276816896,0.2206066,0.02
-0.680020682,-154.1191255,-0.000808635,-0.457495003,-8.368412838,0.997008973,0.322101078,0.26041717,0.0202
-0.709878164,-149.2874098,-0.00059675,-0.329258813,-6.693779518,0.712698479,0.390059194,0.323367985,0.0204
-0.738726901,-144.2436865,-0.000384395,-0.200772302,-5.012334321,0.443572085,0.503309957,0.440778474,0.0206
-0.766525869,-138.9948399,-0.000172804,-0.072744103,-3.332984662,0.192151246,0.729363628,0.792523406,0.0208
-0.793235557,-133.5484419,3.72E-05,0.054340626,-1.661878948,0.039747913,1.405458993,0.440139463,0.021
-0.843236867,-122.0942936,0.000448233,0.30322313,1.624592046,0.437814011,-1.314406758,0.888756943,0.0214
-0.86645744,-116.1028686,0.000647272,0.423867376,3.22536805,0.601201263,-0.629567659,0.439754825,0.0216
-0.888446731,-109.9464544,0.000840675,0.541214913,4.788150447,0.739433526,-0.401598591,0.285339302,0.0218
-0.909173482,-103.6337549,0.000995934,0.636680845,6.082334301,0.825698912,-0.297995487,0.213220836,0.022
-0.928608252,-97.17384824,0.000430394,0.320163535,2.270500551,0.334584575,-0.748525378,0.460269754,0.0222
-0.94672341,-90.57578982,0.001846016,1.135635384,12.49774857,1.337634827,-0.126753245,0.094246855,0.0224
-0.963493226,-83.84908233,0.001375231,0.873043318,9.359254068,0.922494939,-0.156688029,0.112898186,0.0226
-0.978893866,-77.003197,0.001439279,0.915947771,10.01100077,0.88663263,-0.134527168,0.096693105,0.0228
-0.992903443,-70.04788592,0.001498945,0.956215073,10.6319606,0.839983471,-0.115228634,0.082623159,0.023
-1.005502041,-62.9929922,0.001553975,0.993692495,11.22006759,0.783116454,-0.098191864,0.070239088,0.0232
-1.016671766,-55.84862541,0.001604233,1.028290927,11.77403994,0.716753778,-0.082959423,0.059200924,0.0234
-1.026396745,-48.62489449,0.001649461,1.059857084,12.29180012,0.6416388,-0.069186589,0.049252448,0.0236
-1.034663158,-41.33206475,0.001689516,1.088301207,12.77205558,0.558649548,-0.056598516,0.040191067,0.0238
-1.041459258,-33.98049973,0.001724251,1.113530219,13.21347093,0.46872725,-0.044977114,0.031856736,0.024
-1.046775387,-26.5806464,0.001753535,1.13546252,13.61485159,0.372880795,-0.034145334,0.024120389,0.0242
-1.050603992,-19.14302038,0.00177726,1.154028364,13.97514882,0.272177011,-0.023957018,0.01687635,0.0244
-1.05293963,-11.67819094,0.001795337,1.169170095,14.29346282,0.167730316,-0.014289494,0.010036826,0.0246
-1.053778983,-4.196766047,0.001807699,1.180842483,14.56904722,0.060691919,-0.005038049,0.003527831,0.0248
